smiles,gap,mol_weight,exact_mass,polarizability,heat_formation,subset
CC1OCCO1,11.636,88.10512000000004,88.052429496,8.818997,-374.2475,PQR–QM9 overlap
CC=O,10.676,44.05255999999999,44.026214748,4.636228,-172.08831,PQR–QM9 overlap
CCC,15.393,44.09561999999998,44.062600256,6.300604,-96.59672,PQR–QM9 overlap
CCC#CC(=O)OCC,10.99,126.15310000000004,126.06807956,14.261852,-196.52794,PQR–QM9 overlap
CCC#CC(C)(C)C,11.503,110.19676000000008,110.109550448,14.974866,61.59245,PQR–QM9 overlap
CCC#CC(C)C,11.476,96.17018000000006,96.093900384,13.139223,87.61519,PQR–QM9 overlap
CCC#CCC,11.422,82.14360000000005,82.07825032,11.284604,110.4397,PQR–QM9 overlap
CCC#CCC(C)(C)C,11.39,124.22334000000008,124.125200512,16.781996,38.92846,PQR–QM9 overlap
CCC#CCC(C)C,11.399,110.19676000000008,110.109550448,14.986902,65.23785,PQR–QM9 overlap
CCC#CCCC(C)C,11.730999999999998,124.22334000000008,124.125200512,16.755831,46.08981,PQR–QM9 overlap
CCC#N,13.495,55.07849999999999,55.042199165,6.503759,56.98099,PQR–QM9 overlap
CCC(=O)C(C)(C)C,13.779,114.18546000000008,114.104465068,13.759946,-310.53564,PQR–QM9 overlap
CCC(=O)C(C)C,13.838,100.15888000000008,100.088815004,11.951453,-287.15724,PQR–QM9 overlap
CCC(=O)C1(C)CC1,13.793,112.16958000000008,112.088815004,13.379451,-167.42629,PQR–QM9 overlap
CCC(=O)C1(C)CCC1,13.764,126.19616000000008,126.104465068,15.075931,-229.35057,PQR–QM9 overlap
CCC(=O)C1CC1,13.793,98.14300000000006,98.07316494,11.564348,-142.44713,PQR–QM9 overlap
CCC(=O)C1CCC1,13.851,112.16958000000008,112.088815004,13.260512,-202.17152,PQR–QM9 overlap
CCC(=O)C1CCCC1,13.868,126.19616000000008,126.104465068,15.082399,-275.97221,PQR–QM9 overlap
CCC(=O)C=O,12.19,86.08924000000003,86.036779432,8.575043,-284.54915,PQR–QM9 overlap
CCC(=O)CC,13.981,86.13230000000004,86.07316494,10.140193,-264.8626,PQR–QM9 overlap
CCC(=O)CC(=O)CC,13.671,128.16898000000003,128.083729624,13.982006,-435.57826,PQR–QM9 overlap
CCC(=O)CC(C)(C)C,13.896,128.2120400000001,128.120115132,15.550135,-334.45277,PQR–QM9 overlap
CCC(=O)CC(C)C,13.962,114.18546000000008,114.104465068,13.765367,-310.87537,PQR–QM9 overlap
CCC(=O)CCC(C)C,13.97,128.2120400000001,128.120115132,15.612136,-331.40049,PQR–QM9 overlap
CCC(=O)CO,13.887,88.10512000000004,88.052429496,8.937907,-375.05389,PQR–QM9 overlap
CCC(=O)N(C)C,13.764,101.14694000000006,101.084063977,11.518657,-243.5713,PQR–QM9 overlap
CCC(=O)NC,14.153,87.12036000000005,87.068413913,9.631819,-246.78692,PQR–QM9 overlap
CCC(=O)NC(C)(C)C,14.215,129.20010000000005,129.115364105,15.021058,-336.78417,PQR–QM9 overlap
CCC(=O)NC(C)C,14.182,115.17352000000008,115.099714041,13.28442,-312.50806,PQR–QM9 overlap
CCC(=O)NC1(C)CC1,14.144,127.18422000000008,127.099714041,14.665514,-183.78173,PQR–QM9 overlap
CCC(=O)NC1CC1,13.759,113.15764000000006,113.084063977,12.990636,-158.87978,PQR–QM9 overlap
CCC(=O)NC1CCC1,14.036,127.18422000000008,127.099714041,14.659274,-227.62147,PQR–QM9 overlap
CCC(=O)NCC(C)C,14.108,129.20010000000005,129.115364105,15.104765,-324.10531,PQR–QM9 overlap
CCC(=O)OC,14.951,88.10512000000004,88.052429496,8.984653999999999,-423.45051,PQR–QM9 overlap
CCC(=O)OC(C)(C)C,14.814,130.18486000000004,130.099379688,14.461613,-526.53566,PQR–QM9 overlap
CCC(=O)OC(C)C,11.632,116.15828000000006,116.083729624,12.678712,-492.01277,PQR–QM9 overlap
CCC(=O)OC1(C)CC1,11.256,128.16898000000006,128.083729624,14.100368,-361.5073,PQR–QM9 overlap
CCC(=O)OC1CC1,14.589,114.14240000000004,114.06807956,12.341371,-324.82942,PQR–QM9 overlap
CCC(=O)OC1CCC1,11.585,128.16898000000006,128.083729624,14.040519,-399.38357,PQR–QM9 overlap
CCC(=O)OCC(C)C,11.624,130.18486000000004,130.099379688,14.536913,-500.27316,PQR–QM9 overlap
CCC(C)(C)C,0.0,86.17536000000007,86.109550448,11.454212,-44.694,PQR–QM9 overlap
CCC(C)(C)C,18.112,86.17536000000007,86.109550448,11.747604,-163.55348,PQR–QM9 overlap
CCC(C)C,18.38,72.14878000000003,72.093900384,9.945761,-135.90265,PQR–QM9 overlap
CCC(CC)(CC)CC,17.725,128.25510000000008,128.15650064,17.22393,-210.19595,PQR–QM9 overlap
CCC(CC)CC,17.895,100.20194000000008,100.125200512,13.579877,-174.98603,PQR–QM9 overlap
CCC(CO)(CO)CO,12.353,134.17355999999998,134.094294308,13.483882,-655.03604,PQR–QM9 overlap
CCC1(C)CC1,16.055,84.15948000000006,84.093900384,11.362936,-24.46728,PQR–QM9 overlap
CCC1(C)CC1,0.0,84.15948000000004,84.093900384,11.169574,91.92628,PQR–QM9 overlap
CCC1(C)CCC1,0.0,98.18606000000004,98.109550448,12.810552,35.71632,PQR–QM9 overlap
CCC1(C)CCCC1,14.625,112.21264000000008,112.125200512,14.869143,-152.92033,PQR–QM9 overlap
CCC1(CC)CC1,16.033,98.18606000000008,98.109550448,13.175436,-38.95556,PQR–QM9 overlap
CCC1(CC)CCCC1,14.509,126.23922000000007,126.140850576,16.688582,-167.67483,PQR–QM9 overlap
CCC1=CCCC1,13.505,96.17018000000004,96.093900384,12.90131,-38.81231,PQR–QM9 overlap
CCC1=NCCO1,10.6,99.13106000000003,99.068413913,10.929419,-153.85797,PQR–QM9 overlap
CCC1CC1,13.079999999999998,70.13290000000002,70.07825032,9.545545,2.42282,PQR–QM9 overlap
CCC1CCC1,17.465,84.15948000000006,84.093900384,11.260411,-57.44397,PQR–QM9 overlap
CCC1CCCC1,17.724,98.18606000000008,98.109550448,13.061517,-127.89219,PQR–QM9 overlap
CCC1CCCCC1,17.66,112.21264000000008,112.125200512,14.933887,-155.64888,PQR–QM9 overlap
CCC=O,10.581,58.07913999999999,58.041864812,6.460314,-187.56548,PQR–QM9 overlap
CCCC,14.993,58.12219999999998,58.078250319999995,8.130492,-118.02856,PQR–QM9 overlap
CCCC,0.0,58.12219999999998,58.078250319999995,7.81287,27.66601,PQR–QM9 overlap
CCCC,0.0,58.12219999999998,58.078250319999995,7.813104,27.7089,PQR–QM9 overlap
CCCC,0.0,58.12219999999998,58.078250319999995,7.813104,27.7089,PQR–QM9 overlap
CCCC#CC(C)(C)C,14.783,124.22334000000008,124.125200512,16.85099,39.68396,PQR–QM9 overlap
CCCC#CC(C)C,11.431,110.19676000000008,110.109550448,15.020805,65.97952,PQR–QM9 overlap
CCCC#CCC(C)C,11.379,124.22334000000008,124.125200512,16.867362,43.22475,PQR–QM9 overlap
CCCC#CCCC,11.694,110.19676000000008,110.109550448,15.031251,66.74545,PQR–QM9 overlap
CCCC#N,16.181,69.10508000000003,69.057849229,8.359069,35.30588,PQR–QM9 overlap
CCCC(=O)C(C)(C)C,13.773,128.21204000000006,128.120115132,15.595239,-333.56131,PQR–QM9 overlap
